location_id,location_name,latitude,longitude,locality,country_code,country_name,is_active
412,"Peenya, Bengaluru - KSPCB",13.0339,77.51321111,,IN,India,
594,"BTM Layout, Bengaluru - KSPCB",12.912811110000002,77.60921944,,IN,India,
797,City Railway Station - KSPCB,12.9773472,77.5706972222222,,IN,India,
2589,SaneguravaHalli - KSPCB,12.9916694,77.5458305555555,,IN,India,
2592,"BWSSB Kadabesanahalli, Bengaluru - KSPCB",12.93890556,77.69727222,,IN,India,
5547,"BWSSB Kadabesanahalli, Bengaluru - CPCB",12.9352049,77.6814488,,IN,India,
5548,"BTM Layout, Bengaluru - CPCB",12.9135218,77.5950804,,IN,India,
5574,"City Railway Station, Bengaluru - KSPCB",12.9756843,77.5660749,,IN,India,
5607,"Peenya, Bengaluru - CPCB",13.0270199,77.494094,,IN,India,
5644,"Sanegurava Halli, Bengaluru - KSPCB",12.990328,77.5431385,,IN,India,
6973,"Jayanagar 5th Block, Bengaluru - KSPCB",12.920984,77.584908,,IN,India,
6974,"Bapuji Nagar, Bengaluru - KSPCB",12.951913,77.539784,,IN,India,
6975,"Silk Board, Bengaluru - KSPCB",12.917348,77.622813,,IN,India,
6983,"Hombegowda Nagar, Bengaluru - KSPCB",12.938539,77.5901,,IN,India,
6984,"Hebbal, Bengaluru - KSPCB",13.029152,77.585901,,IN,India,
229473,blore_India_07_14_official,13.003347077,77.628012188,,IN,India,
2498781,SiriJaya,12.909153635368195,77.52476183092863,,IN,India,
3409312,"BWSSB Kadabesanahalli, Bengaluru - CPCB",12.9352049,77.6814488,,IN,India,
3409385,"RVCE-Mailasandra, Bengaluru - KSPCB",12.921418,77.502466,,IN,India,
3409388,"Kasturi Nagar, Bengaluru - KSPCB",13.003872,77.664217,,IN,India,
3409393,"Shivapura_Peenya, Bengaluru - KSPCB",13.0246342,77.5080115,,IN,India,
6119271,Kumaraswamy Layout,12.9044,77.5649,,IN,India,
6146655,Bellandur,12.9178128,77.6955288,,IN,India,
6206921,Koramangala,12.9370223,77.6115928,,IN,India,
