timestamp,station_id,station_name,latitude,longitude,pm25,pm10,no2,temperature_c,relative_humidity,wind_speed_mps,rainfall_mm,hour,weekday,month
2025-01-01 00:00:00+00:00,BLR_BTM,BTM Layout,12.9166,77.6101,44.24,60.63,23.68,21.98,65.43,2.32,0.0,0,2,1
2025-01-01 01:00:00+00:00,BLR_BTM,BTM Layout,12.9166,77.6101,47.93,71.9,25.85,20.25,70.6,2.89,0.0,1,2,1
2025-01-01 02:00:00+00:00,BLR_BTM,BTM Layout,12.9166,77.6101,45.11,69.73,16.21,22.52,60.75,2.36,0.0,2,2,1
2025-01-01 03:00:00+00:00,BLR_BTM,BTM Layout,12.9166,77.6101,57.27,95.29,20.45,23.1,69.63,1.48,0.0,3,2,1
2025-01-01 04:00:00+00:00,BLR_BTM,BTM Layout,12.9166,77.6101,56.38,114.47,20.78,20.18,62.06,1.02,0.0,4,2,1
2025-01-01 05:00:00+00:00,BLR_BTM,BTM Layout,12.9166,77.6101,56.48,109.46,25.96,21.69,63.35,1.07,0.0,5,2,1
2025-01-01 06:00:00+00:00,BLR_BTM,BTM Layout,12.9166,77.6101,68.54,127.59,30.76,24.25,70.34,1.68,0.0,6,2,1
2025-01-01 07:00:00+00:00,BLR_BTM,BTM Layout,12.9166,77.6101,69.67,127.5,28.41,24.62,64.83,1.73,0.0,7,2,1
2025-01-01 08:00:00+00:00,BLR_BTM,BTM Layout,12.9166,77.6101,66.51,130.27,28.13,25.89,63.34,1.48,0.0,8,2,1
2025-01-01 09:00:00+00:00,BLR_BTM,BTM Layout,12.9166,77.6101,68.39,121.46,29.6,25.73,47.37,0.61,0.0,9,2,1
2025-01-01 10:00:00+00:00,BLR_BTM,BTM Layout,12.9166,77.6101,65.28,132.93,25.35,28.53,67.36,1.83,0.0,10,2,1
2025-01-01 11:00:00+00:00,BLR_BTM,BTM Layout,12.9166,77.6101,48.97,72.67,17.06,28.96,47.92,2.29,0.0,11,2,1
2025-01-01 12:00:00+00:00,BLR_BTM,BTM Layout,12.9166,77.6101,56.41,94.08,24.35,28.46,63.44,2.02,0.0,12,2,1
2025-01-01 13:00:00+00:00,BLR_BTM,BTM Layout,12.9166,77.6101,56.47,85.75,25.52,29.85,60.13,3.09,0.0,13,2,1
2025-01-01 14:00:00+00:00,BLR_BTM,BTM Layout,12.9166,77.6101,59.22,119.11,26.4,28.94,57.74,1.86,0.0,14,2,1
2025-01-01 15:00:00+00:00,BLR_BTM,BTM Layout,12.9166,77.6101,50.77,88.19,20.83,27.0,49.94,3.01,0.0,15,2,1
2025-01-01 16:00:00+00:00,BLR_BTM,BTM Layout,12.9166,77.6101,62.17,122.98,28.99,27.92,57.25,2.45,0.0,16,2,1
2025-01-01 17:00:00+00:00,BLR_BTM,BTM Layout,12.9166,77.6101,55.41,84.37,34.96,25.6,55.17,3.54,0.0,17,2,1
2025-01-01 18:00:00+00:00,BLR_BTM,BTM Layout,12.9166,77.6101,67.4,114.08,40.69,26.96,60.1,3.44,0.0,18,2,1
2025-01-01 19:00:00+00:00,BLR_BTM,BTM Layout,12.9166,77.6101,64.52,99.35,35.13,24.94,60.5,4.01,0.0,19,2,1
2025-01-01 20:00:00+00:00,BLR_BTM,BTM Layout,12.9166,77.6101,61.73,110.2,35.74,23.87,51.84,3.39,0.0,20,2,1
2025-01-01 21:00:00+00:00,BLR_BTM,BTM Layout,12.9166,77.6101,67.55,109.36,26.87,22.43,72.73,2.88,0.0,21,2,1
2025-01-01 22:00:00+00:00,BLR_BTM,BTM Layout,12.9166,77.6101,49.9,96.54,23.44,23.99,67.17,2.69,0.0,22,2,1
2025-01-01 23:00:00+00:00,BLR_BTM,BTM Layout,12.9166,77.6101,49.69,93.75,27.68,21.78,66.02,2.59,0.0,23,2,1
2025-01-02 00:00:00+00:00,BLR_BTM,BTM Layout,12.9166,77.6101,46.32,57.56,14.99,21.11,66.37,2.23,0.0,0,3,1
2025-01-02 01:00:00+00:00,BLR_BTM,BTM Layout,12.9166,77.6101,46.73,64.88,22.01,21.08,72.15,2.81,0.0,1,3,1
